DEVID,DESCR_IF_MISC,ERROR_DESCRIPTION,DATE_OCCURRED,IDENTIFIED_BY,MODIFIED_BY,AFFECTED_TREATMENT,CORRECTED,WHYNOTCORRECTED,TX_INTENT,TX_METHOD,DEV_TYPE,ASSIGNED_USER,ASSIGNED_ROLE,ERROR_LEVEL_NAME,Sub_Desc,Att_Desc,Attribute,Stage1,Stage2,Approved_By1,Approved_By2,Role1,Role2,CUSTOM_CORRECTION,SELECTED_CORRECTION,DOC_TYPE,MOREINFO,GROUPID,ACTION,STATUS,ROLE_NAME1,ROLE_NAME2,ROLE_CODES,Attribute_Stage,SL,IS_POST,APPROVAL_ORDER,REG_VIOLATION,POSSIBLE_VIOLATION,CLIN_SIGNIFICANT,SIGNIFICANT_ERROR,MISADMIN,RECORDABLE,INTENT_METHOD_APPLICABLE,CORRECTION_ROLES
212,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All DOS not available.,2021-02-22T14:36:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All DOS not available.,2021-02-22T14:36:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All DOS not available.,2021-02-22T14:36:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All DOS not available.,2021-02-22T14:36:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). All DOS not available.,2021-02-22T14:36:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/15/2021-04/18/2021.,2021-03-15T14:38:31Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/02/2021-04/13/2021.,2021-03-02T14:40:43Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/22/2021-04/13/2021.,2021-03-22T14:47:06Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/06/2021.,2021-02-03T14:48:57Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/03/2021-04/09/2021.,2021-03-03T14:50:28Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/13/2021-04/13/2021.,2021-03-13T14:52:38Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Review deficiencies with new dosimetrist,Custom Attribute,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
